981,200
503,740
523,138
437,699
339,482
677,472
594,816
741,322
371,730
936,314
146,440
427,936
707,804
425,188
343,288
218,131
387,693
655,486
258,897
931,180
492,762
798,320
892,117
858,200
549,659
348,749
620,104
527,782
935,599
933,368
238,501
928,905
322,851
222,473
928,312
383,439
844,868
775,413
278,568
900,187
584,656
217,822
709,139
820,648
899,859
443,279
816,637
359,882
536,120
884,831
605,626
911,898
917,129
484,294
593,931
849,426
383,279
878,704
109,791
653,628
424,893
766,488
391,832
736,247
355,977
516,179
298,231
769,427
287,934
261,487
552,901
510,225
116,222
150,513
303,227
585,213
447,865
874,549
569,924
995,248
792,924
100,627
588,196
731,234
526,108
446,587
304,730
315,330
198,274
808,480
859,738
325,858
121,936
614,345
566,636
850,629
586,906
955,402
282,235
782,685
177,316
246,261
819,163
558,924
585,199
284,445
441,755
496,652
450,629
126,767
756,879
588,894
568,459
401,207
690,289
651,149
745,987
424,492
797,310
848,756
304,846
381,467
756,605
116,934
947,218
403,102
151,783
183,899
146,280
241,794
232,538
554,366
320,265
819,534
107,336
690,989
801,986
127,768
818,384
619,521
114,541
463,567
391,354
448,761
325,525
168,771
963,741
372,342
920,794
784,497
743,681
291,278
519,663
541,999
441,753
183,963
651,341
158,644
971,651
794,995
638,225
402,932
933,693
849,369
761,408
748,559
814,199
693,868
500,283
633,632
354,361
900,329
489,131
497,264
989,592
830,181
816,537
949,705
264,914
520,869
253,170
413,399
451,731
527,519
311,822
824,475
745,702
859,711
249,884
598,796
221,286
379,950
873,112
182,236
253,858
957,560
119,916
762,658
745,193
192,859
492,655
295,812
929,377
858,655
118,243
273,773
413,987
622,895
523,592
854,890
901,953
544,258
642,934
906,123
207,297
867,659
739,719
853,670
135,404
544,421
565,668
122,837
512,775
965,813
615,629
130,581
474,360
180,585
234,169
545,336
454,990
136,131
997,894
233,914
330,735
174,259
569,694
968,817
208,357
635,565
300,933
545,125
672,360
200,825
528,144
859,533
419,526
448,957
993,212
920,355
253,607
799,725
575,824
803,618
109,106
497,565
718,540
491,817
341,765
227,683
904,521
227,898
687,255
693,237
885,890
289,198
488,916
181,502
280,642
973,451
342,905
595,794
812,513
224,437
201,155
147,488
429,367
960,653
854,643
615,865
336,888
784,607
654,516
629,764
240,655
877,375
272,736
628,934
567,656
899,278
598,839
405,705
928,567
974,864
717,213
936,530
519,192
512,192
420,843
857,757
100,753
992,972
252,482
633,737
876,964
227,700
387,542
734,785
381,143
976,278
779,114
118,742
942,126
262,230
750,864
680,802
653,704
733,646
896,957
114,608
923,595
964,507
531,516
903,929
943,909
179,383
289,815
338,781
996,178
854,103
867,350
515,131
726,864
124,339
779,161
976,620
304,662
714,150
737,376
793,488
985,649
346,792
902,817
200,872
838,465
711,167
848,676
228,341
579,420
806,386
655,660
800,653
458,955
867,661
806,363
692,175
869,919
152,252
661,102
260,189
686,815
855,340
839,445
890,975
148,351
961,282
710,994
735,755
939,489
457,999
413,229
927,917
839,670
574,583
814,200
687,477
347,971
229,719
495,334
468,735
193,321
367,483
736,802
114,831
398,973
145,136
912,146
809,220
946,906
610,930
243,876
941,904
771,131
241,624
452,974
535,703
987,293
274,826
523,783
301,555
501,604
132,253
166,951
505,461
286,557
416,358
928,653
580,335
424,299
540,557
412,142
608,609
322,565
810,976
487,172
656,410
164,692
987,275
200,996
447,315
977,683
171,653
135,255
291,736
891,876
407,804
169,991
809,704
738,238
406,200
718,745
130,248
822,803
212,424
681,442
947,789
649,799
971,361
820,872
446,895
101,660
384,240
841,694
255,274
785,407
850,964
253,253
887,783
212,430
722,692
724,371
253,700
468,830
540,749
673,852
781,276
179,989
512,778
944,921
167,863
905,371
862,155
170,474
439,797
792,890
655,450
919,316
919,464
776,586
873,286
271,722
306,392
223,989
611,329
781,538
909,740
536,374
704,329
617,193
223,885
375,243
509,977
