28.71,77.81,81,1,1
28.72,77.82,31,2,2
28.73,77.83,56,3,3
28.74,77.84,26,4,4
28.75,77.85,97,5,5
28.76,77.86,76,6,6
28.77,77.87,50,7,7
28.78,77.88,13,8,8
28.79,77.89,25,9,9
28.710,77.810,27,10,10
28.711,77.811,12,11,11
28.712,77.812,90,12,12
28.713,77.813,17,13,13
28.714,77.814,66,14,14
28.715,77.815,31,15,15
28.716,77.816,66,16,16
28.717,77.817,14,17,17
28.718,77.818,38,18,18
28.719,77.819,44,19,19
28.720,77.820,23,20,20
28.721,77.821,32,21,21
28.722,77.822,95,22,22
28.723,77.823,30,23,23
28.724,77.824,78,24,24
28.725,77.825,41,25,25
28.726,77.826,47,26,26
28.727,77.827,15,27,27
28.728,77.828,12,28,28
28.729,77.829,16,29,29
28.730,77.830,63,30,30
28.731,77.831,68,31,31
28.732,77.832,85,32,32
28.733,77.833,50,33,33
28.734,77.834,41,34,34
28.735,77.835,22,35,35
28.736,77.836,50,36,36
28.737,77.837,70,37,37
28.738,77.838,28,38,38
28.739,77.839,71,39,39
28.740,77.840,72,40,40
28.741,77.841,31,41,41
28.742,77.842,37,42,42
28.743,77.843,97,43,43
28.744,77.844,64,44,44
28.745,77.845,39,45,45
28.746,77.846,75,46,46
28.747,77.847,25,47,47
28.748,77.848,67,48,48
28.749,77.849,58,49,49
28.750,77.850,35,50,50
28.751,77.851,27,51,51
28.752,77.852,89,52,52
28.753,77.853,69,53,53
28.754,77.854,79,54,54
28.755,77.855,91,55,55
28.756,77.856,27,56,56
28.757,77.857,85,57,57
28.758,77.858,76,58,58
28.759,77.859,69,59,59
28.760,77.860,22,60,60
28.761,77.861,87,61,61
28.762,77.862,77,62,62
28.763,77.863,72,63,63
28.764,77.864,29,64,64
28.765,77.865,85,65,65
28.766,77.866,58,66,66
28.767,77.867,67,67,67
28.768,77.868,51,68,68
28.769,77.869,99,69,69
28.770,77.870,53,70,70
28.771,77.871,31,71,71
28.772,77.872,89,72,72
28.773,77.873,12,73,73
28.774,77.874,15,74,74
28.775,77.875,30,75,75
28.776,77.876,75,76,76
28.777,77.877,50,77,77
28.778,77.878,63,78,78
28.779,77.879,43,79,79
28.780,77.880,73,80,80
28.781,77.881,39,81,81
28.782,77.882,98,82,82
28.783,77.883,19,83,83
28.784,77.884,63,84,84
28.785,77.885,98,85,85
28.786,77.886,15,86,86
28.787,77.887,40,87,87
28.788,77.888,77,88,88
28.789,77.889,70,89,89
28.790,77.890,10,90,90
28.791,77.891,86,91,91
28.792,77.892,87,92,92
28.793,77.893,86,93,93
28.794,77.894,61,94,94
28.795,77.895,16,95,95
28.796,77.896,63,96,96
28.797,77.897,82,97,97
28.798,77.898,64,98,98
28.799,77.899,46,99,99
28.7100,77.8100,22,100,100
28.7101,77.8101,28,101,101
28.7102,77.8102,69,102,102
28.7103,77.8103,65,103,103
28.7104,77.8104,71,104,104
28.7105,77.8105,89,105,105
28.7106,77.8106,65,106,106
28.7107,77.8107,72,107,107
28.7108,77.8108,48,108,108
28.7109,77.8109,64,109,109
28.7110,77.8110,88,110,110
28.7111,77.8111,40,111,111
